player_id,player_name,position,season,recent_team,games,receptions,targets,receiving_yards,receiving_tds,def_interceptions,def_pass_defended,def_tackles_solo,def_sacks,def_interception_yards
00-0000017,D.Abraham,CB,1999,TB,16,0,0,0,0,7,25,49,2.0,115
00-0000025,K.Abrams,CB,1999,DET,1,0,0,0,0,0,0,1,0.0,0
00-0000145,D.Alexander,WR,1999,KC,16,54,105,832,2,0,0,1,0.0,0
00-0000172,B.Alford,WR,1999,NYG,2,1,5,7,1,0,0,0,0.0,0
00-0000204,E.Allen,CB,1999,OAK,16,0,0,0,0,3,17,42,0.0,33
00-0000261,A.Ambrose,CB,1999,NO,16,0,0,0,0,6,22,46,0.0,27
00-0000387,R.Anthony,WR,1999,TB,13,30,60,296,1,0,0,0,0.0,0
00-0000422,J.Armour,WR,1999,BAL,14,33,78,462,4,0,0,6,0.0,0
00-0000559,J.Azumah,CB,1999,CHI,13,0,0,0,0,0,1,25,0.0,0
00-0000585,C.Bailey,CB,1999,WAS,16,0,0,0,0,5,16,64,1.0,55
00-0000627,E.Baker,WR,1999,ATL,3,7,14,118,0,0,0,1,0.0,0
00-0000696,A.Banks,CB,1999,MIN,5,0,0,0,0,0,0,11,0.0,0
00-0000765,R.Barlow,WR,1999,JAX,14,16,28,202,0,0,0,0,0.0,0
00-0000869,D.Bates,WR,1999,CHI,4,2,7,19,0,0,0,1,0.0,0
00-0000872,M.Bates,WR,1999,CAR,16,1,1,2,0,0,0,8,0.0,0
00-0000939,A.Beasley,CB,1999,JAX,16,0,0,0,0,6,18,55,1.5,200
00-0000969,B.Bech,WR,1999,NO,7,4,8,65,1,0,0,11,0.0,0
00-0001054,T.Bell,CB,1999,GB,1,0,0,0,0,0,0,1,0.0,0
00-0001266,B.Bishop,S,1999,TEN,14,0,0,0,0,0,2,49,2.5,0
00-0001317,W.Blackwell,WR,1999,PIT,11,20,36,186,0,0,0,1,0.0,0
00-0001388,D.Bly,CB,1999,STL,12,0,0,0,0,3,8,16,0.0,53
00-0001427,J.Bolden,CB,1999,KC,2,0,0,0,0,0,0,2,0.0,0
00-0001477,M.Booker,WR,1999,CHI,8,19,33,219,3,0,0,1,0.0,0
00-0001532,D.Boston,WR,1999,ARI,15,40,81,473,2,0,0,2,0.0,0
00-0001582,F.Bownes,WR,1999,SEA,12,4,6,68,1,0,0,13,0.0,0
00-0001627,C.Bradford,WR,1999,GB,16,37,90,637,5,0,0,18,0.0,0
00-0001713,T.Braxton,S,1999,DEN,14,0,0,0,0,0,0,32,1.0,0
00-0001719,C.Brazzell,WR,1999,DAL,4,5,11,114,0,0,0,0,0.0,0
00-0001783,V.Brisby,WR,1999,NE,11,18,33,266,0,0,0,1,0.0,0
00-0001842,M.Brooks,WR,1999,CHI,9,14,27,160,0,0,0,1,0.0,0
00-0001897,C.Brown,S,1999,DET,10,0,0,0,0,0,0,15,0.0,0
00-0001931,E.Brown,S,1999,DEN,10,0,0,0,0,1,1,50,1.5,13
00-0001934,F.Brown,CB,1999,SD,6,0,0,0,0,0,2,30,0.0,0
00-0001981,L.Brown,S,1999,PIT,9,0,0,0,0,0,1,13,1.0,0
00-0002005,N.Brown,WR,1999,PHI,8,18,36,188,1,0,0,0,0.0,0
00-0002058,T.Brown,WR,1999,OAK,16,90,145,1344,6,0,0,2,0.0,0
00-0002068,T.Brown,WR,1999,NE,13,36,56,471,1,0,0,5,0.0,0
00-0002099,I.Bruce,WR,1999,STL,15,69,109,1073,11,0,0,3,0.0,0
00-0002180,C.Buckley,CB,1999,WAS,2,0,0,0,0,0,0,1,0.0,0
00-0002328,J.Burris,CB,1999,IND,16,0,0,0,0,2,13,60,2.0,83
00-0002424,L.Butler,S,1999,GB,16,0,0,0,0,2,6,36,1.0,0
00-0002469,I.Byrd,WR,1999,TEN,11,14,25,261,2,0,0,3,0.0,0
00-0002544,C.Calloway,WR,1999,ATL,11,22,43,314,1,0,0,0,0.0,0
00-0002613,C.Canty,CB,1999,SEA,12,0,0,0,0,3,11,26,0.0,26
00-0002666,K.Carpenter,S,1999,BUF,3,0,0,0,0,0,0,4,0.0,0
00-0002701,R.Carruth,WR,1999,CAR,5,14,26,200,0,0,0,1,0.0,0
00-0002721,C.Carter,WR,1999,MIN,15,90,136,1241,13,0,0,1,0.0,0
00-0002722,D.Carter,CB,1999,DEN,14,0,0,0,0,2,12,44,0.0,48
00-0002748,M.Carter,S,1999,ATL,11,0,0,0,0,1,4,44,0.0,4
00-0002919,C.Chavous,S,1999,ARI,14,0,0,0,0,1,4,27,0.0,1
00-0002942,D.Chiaverini,WR,1999,CLE,14,44,76,487,4,0,0,0,0.0,0
00-0002962,W.Chrebet,WR,1999,NYJ,11,48,81,631,3,0,0,1,0.0,0
00-0003175,M.Cody,WR,1999,ARI,13,6,11,60,1,0,0,0,0.0,0
00-0003378,A.Connell,WR,1999,WAS,15,62,121,1132,7,0,0,2,0.0,0
00-0003396,C.Conway,WR,1999,CHI,9,44,79,426,4,0,0,2,0.0,0
00-0003441,A.Cooper,WR,1999,DEN,7,9,17,98,0,0,0,0,0.0,0
00-0003661,R.Crockett,CB,1999,DEN,16,0,0,0,0,2,10,55,2.0,14
00-0003700,G.Crowell,WR,1999,DET,16,81,147,1338,7,0,0,2,0.0,0
00-0003944,B.Davis,WR,1999,BAL,13,6,15,121,0,0,0,10,0.0,0
00-0004071,Z.Davis,WR,1999,CLE,4,2,8,38,0,0,0,1,0.0,0
00-0004073,B.Dawkins,S,1999,PHI,16,0,0,0,0,4,24,53,1.5,127
00-0004077,S.Dawkins,WR,1999,SEA,16,58,114,992,7,0,0,1,0.0,0
00-0004079,L.Dawsey,WR,1999,NO,8,16,33,196,1,0,0,11,0.0,0
00-0004208,T.Denton,CB,1999,WAS,12,0,0,0,0,0,3,18,0.0,0
00-0004318,C.Dimry,CB,1999,SD,11,0,0,0,0,2,7,30,0.0,1
00-0004337,C.Dishman,CB,1999,KC,16,0,0,0,0,5,21,55,0.0,95
00-0004386,C.Doering,WR,1999,DEN,3,3,5,22,0,0,0,0,0.0,0
00-0004463,D.Douglas,WR,1999,PHI,11,8,16,79,1,0,0,7,0.0,0
00-0004519,T.Drakeford,CB,1999,NO,8,0,0,0,0,0,4,22,0.0,0
00-0004541,D.Driver,WR,1999,GB,4,3,7,31,1,0,0,0,0.0,0
00-0004634,D.Dunn,WR,1999,CLE,6,1,2,4,0,0,0,0,0.0,0
00-0004673,T.Dwight,WR,1999,ATL,12,32,50,669,7,0,0,0,0.0,0
00-0004694,K.Dyson,WR,1999,TEN,16,54,103,658,4,0,0,2,0.0,0
00-0004705,Q.Early,WR,1999,NYJ,9,6,17,83,0,0,0,0,0.0,0
00-0004780,T.Edwards,WR,1999,PIT,16,61,118,714,5,0,0,4,0.0,0
00-0004888,B.Emanuel,WR,1999,TB,11,22,52,238,1,0,0,1,0.0,0
00-0004915,B.Engram,WR,1999,CHI,16,88,148,947,4,0,0,4,0.0,0
00-0005231,B.Finneran,WR,1999,PHI,2,2,4,21,0,0,0,1,0.0,0
00-0005244,C.Fisher,CB,1999,CIN,1,0,0,0,0,0,0,0,0.0,0
00-0005562,A.Freeman,WR,1999,GB,16,74,132,1074,6,0,0,3,0.0,0
00-0005616,I.Fryar,WR,1999,WAS,14,26,46,254,2,0,0,0,0.0,0
00-0005627,C.Fuller,CB,1999,CLE,16,0,0,0,0,0,11,50,0.0,0
00-0005668,O.Gadsden,WR,1999,MIA,15,48,89,803,6,0,0,3,0.0,0
00-0005720,J.Galloway,WR,1999,SEA,8,22,52,335,1,0,0,2,0.0,0
00-0005785,S.Garnes,S,1999,NYG,16,0,0,0,0,2,6,55,1.0,7
00-0005903,J.German,WR,1999,ATL,10,12,20,219,3,0,0,5,0.0,0
